season,bird_id,filename,date_start,recorded_start,
2016,71695,000071695_0529c16.txt,2016-07-18 14:43:00,2016-07-18 14:00:00,
2016,46408,000046408_6117c16.txt,2016-08-30 10:13:00,2016-08-24 15:00:00,
2016,63054,000063054_6101r16.txt,2016-09-07 11:05:00,2016-08-24 15:00:00,
2017,50945,000050945_0164c17.txt,2017-09-01 5:23:00,2017-08-31 16:00:00,
2018,69936,000069936_1801017c18.txt,2018-09-25 15:34:00,2018-09-25 8:00:01,
2018,46645,000046645_1801011c18.txt,2018-09-25 15:27:00,2018-09-25 8:00:01,
